Start Date,End Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS)
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,pottery bowls for kids,1,1,100.00%,1.03,1.03,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,safe kids bowls set,4,1,25.00%,1.96,1.96,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,small bowl for kids,2,1,50.00%,1.12,1.12,,0.0
12-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,small bowls for kids,4,1,25.00%,1.57,1.57,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,small kids bowls,9,1,11.11%,0.95,0.95,,0.0
8-Jun-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,kids bowls,BROAD,vacuum bowls for kids,10,1,10.00%,1.24,1.24,,0.0
7-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,bamboo dish set kids,2,1,50.00%,1.31,1.31,5.24%,19.08
31-May-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,bamboo dishes for kids,10,4,40.00%,1.31,5.25,10.50%,9.52
11-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,bamboo kids dishes,6,3,50.00%,1.4,4.19,,0.0
4-Jun-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,correlle kids dishes,5,1,20.00%,1.06,1.06,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,dish pottery for kids,2,1,50.00%,0.93,0.93,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,dishes kids safe,2,1,50.00%,1.29,1.29,,0.0
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,dishwasher safe kids dishes,1,1,100.00%,2.01,2.01,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,ekobo kids dish set,13,1,7.69%,1.1,1.1,4.40%,22.72
11-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,enameled kids dishes,2,1,50.00%,1.76,1.76,,0.0
11-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kid dish set,1,1,100.00%,2.02,2.02,,0.0
4-Jun-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kid dishes bpa free dishwasher safe,3,1,33.33%,0.83,0.83,,0.0
12-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids camping dishes,10,1,10.00%,1.88,1.88,,0.0
30-May-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids dish set,239,6,2.51%,1.01,6.08,,0.0
28-May-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids dish sets for eating,23,2,8.70%,1.54,3.08,,0.0
31-May-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids dishes for meal,122,6,4.92%,1.5,8.99,35.97%,2.78
31-May-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids dishes set,13,2,15.38%,1.54,3.08,,0.0
11-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids initial dish,1,1,100.00%,1.36,1.36,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,kids tupperware dish set,2,1,50.00%,1.49,1.49,,0.0
1-Jun-21,1-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,melamine kids dishes,179,1,0.56%,1.49,1.49,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,mr bones dish set for kids,2,1,50.00%,0.92,0.92,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,triton kids dishes,2,1,50.00%,1.34,1.34,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids dishes,BROAD,tupperware kids dishes,1,1,100.00%,1.06,1.06,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,metal toddler plate,60,1,1.67%,1.61,1.61,,0.0
31-May-21,31-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,moana plate set for toddlers,6,1,16.67%,1.48,1.48,,0.0
7-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,montessori toddler plates,3,1,33.33%,1.06,1.06,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,non breakable plates toddlers,2,1,50.00%,1.25,1.25,,0.0
3-Jun-21,7-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,oxo plates for toddlers,11,2,18.18%,1.57,3.14,12.57%,7.96
12-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,plate toddler,1,1,100.00%,1.46,1.46,,0.0
11-Jun-21,11-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,plates and bowls for toddlers,2,1,50.00%,0.98,0.98,3.92%,25.5
9-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,plates for toddlers,1,1,100.00%,1.43,1.43,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,safe toddler plates,2,1,50.00%,1.45,1.45,4.83%,20.68
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler meal plates,3,1,33.33%,1.28,1.28,,0.0
31-May-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plate set,96,3,3.13%,1.4,4.2,,0.0
25-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates,428,6,1.40%,0.99,5.92,10.77%,9.29
4-Jun-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates 6,2,1,50.00%,1.38,1.38,,0.0
30-May-21,30-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates characters,2,1,50.00%,1.65,1.65,6.60%,15.15
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler plates small,8,1,12.50%,1.58,1.58,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,plates for toddlers,BROAD,toddler sticky plate,2,1,50.00%,1.68,1.68,,0.0
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,bpa free kids plates and bowls,26,1,3.85%,2.29,2.29,,0.0
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kid friendly bowls and plates,2,2,100.00%,1.64,3.28,13.13%,7.62
29-May-21,29-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kid friendly plates and bowls sets,10,1,10.00%,1.91,1.91,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids bowls and plates,10,1,10.00%,1.53,1.53,,0.0
31-May-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids bowls and plates set,130,5,3.85%,1.23,6.14,24.57%,4.07
10-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids plates and bowls,145,2,1.38%,1.42,2.83,,0.0
25-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids plates and bowls sets,4271,15,0.35%,1.31,19.69,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids plates and bowls sets dishwasher safe,1,1,100.00%,2.15,2.15,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,kids safe plates and bowls sets,2,1,50.00%,2.25,2.25,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids plates and bowls,BROAD,non toxic kids plates and bowls,6,1,16.67%,2.27,2.27,9.08%,11.01
