Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"May 25, 2021","Jun 19, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids plates,EXACT,kids plates,18524,208,1.1229%,$2.09,$433.96,$874.65,49.6153%,2.02,34,35,16.3462%,27,8,$674.73,$199.92
"Jun 05, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids plates and bowls sets,EXACT,kids plate and bowl set,13,2,15.3846%,$1.42,$2.84,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 18, 2021","Jun 18, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids plates and bowls sets,EXACT,kids plates and bowls set,6,1,16.6667%,$1.77,$1.77,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 25, 2021","Jun 19, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids plates and bowls sets,EXACT,kids plates and bowls sets,25362,135,0.5323%,$1.31,$176.56,$324.87,54.3479%,1.84,13,13,9.6296%,7,6,$174.93,$149.94
"May 26, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,toddler bowls and plates,EXACT,toddler bowls and plates,454,22,4.8458%,$2.05,$45.15,$24.99,180.6723%,0.55,1,1,4.5455%,1,0,$24.99,$0.00
"Jun 13, 2021","Jun 19, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,bamboo kids plates,EXACT,bamboo kids plate,11,2,18.1818%,$1.71,$3.41,$49.98,6.8227%,14.66,2,2,100.0000%,1,1,$24.99,$24.99
"May 25, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,bamboo kids plates,EXACT,bamboo kids plates,2553,49,1.9193%,$1.57,$76.81,$99.96,76.8407%,1.30,4,4,8.1633%,3,1,$74.97,$24.99
"May 25, 2021","Jun 14, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,toddler plates and bowls set,EXACT,toddler plate and bowl set,37,4,10.8108%,$1.34,$5.36,$59.98,8.9363%,11.19,2,2,50.0000%,1,1,$29.99,$29.99
"May 25, 2021","Jun 19, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,toddler plates and bowls set,EXACT,toddler plates and bowls set,3907,94,2.4059%,$1.89,$177.35,$449.82,39.4269%,2.54,18,18,19.1489%,9,9,$224.91,$224.91
"May 27, 2021","May 27, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,toddler plates and bowls set,EXACT,toddler plates and bowls sets,3,1,33.3333%,$2.13,$2.13,$24.99,8.5234%,11.73,1,1,100.0000%,1,0,$24.99,$0.00
"May 28, 2021","Jun 14, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,toddler plates and bowls set,EXACT,toddlers plates and bowls sets,6,2,33.3333%,$1.70,$3.39,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 28, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids bamboo plates,EXACT,kids bamboo plate,9,2,22.2222%,$1.18,$2.36,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 26, 2021","Jun 18, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,kids bamboo plates,EXACT,kids bamboo plates,322,11,3.4161%,$1.62,$17.83,$49.98,35.6743%,2.80,2,2,18.1818%,1,1,$24.99,$24.99
"May 31, 2021","Jun 04, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,bamboo toddler plates,EXACT,bamboo toddler plate,18,2,11.1111%,$1.88,$3.75,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 26, 2021","Jun 19, 2021",Not grouped,USD,Floral - Manual,Exact Ad Group,bamboo toddler plates,EXACT,bamboo toddler plates,757,33,4.3593%,$2.15,$70.82,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 26, 2021","Jun 15, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo kids plates,BROAD,bamboo kids plates and bowl sets,258,11,4.2636%,$1.26,$13.86,$74.97,18.4874%,5.41,3,3,27.2727%,2,1,$49.98,$24.99
"May 27, 2021","Jun 16, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo kids plates,BROAD,grow forward kids bamboo plates and bowl sets,5,3,60.0000%,$2.19,$6.56,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 11, 2021","Jun 13, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo kids plates,BROAD,kids plates bamboo,16,2,12.5000%,$1.92,$3.83,$24.99,15.3261%,6.52,1,1,50.0000%,1,0,$24.99,$0.00
"May 31, 2021","Jun 01, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plate toddler,3,2,66.6667%,$1.72,$3.44,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 17, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates for toddlers,10,1,10.0000%,$1.67,$1.67,$24.99,6.6827%,14.96,1,1,100.0000%,1,0,$24.99,$0.00
"May 28, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo plates toddler,40,6,15.0000%,$1.61,$9.65,$0.00,,0.00,1,1,16.6667%,1,0,$0.00,$0.00
"Jun 03, 2021","Jun 18, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo toddler plates,BROAD,bamboo toddler plates and bowls set,11,3,27.2727%,$1.39,$4.18,$24.99,16.7267%,5.98,1,1,33.3333%,1,0,$24.99,$0.00
"May 25, 2021","Jun 16, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo toddler plates,BROAD,toddler bamboo plates,50,6,12.0000%,$1.91,$11.44,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 14, 2021","Jun 14, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo toddler plates,BROAD,toddler plate bamboo,3,1,33.3333%,$1.70,$1.70,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 31, 2021","Jun 11, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,bamboo toddler plates,BROAD,toddler plates bamboo,7,2,28.5714%,$1.45,$2.89,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 13, 2021","Jun 13, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,kids plates,BROAD,animal plates for kids,2,1,50.0000%,$0.91,$0.91,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 09, 2021","Jun 09, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,kids plates,BROAD,colorful plates kids,1,1,100.0000%,$1.28,$1.28,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 18, 2021","Jun 18, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,kids plates,BROAD,cow plate set kids,12,1,8.3333%,$0.40,$0.40,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 26, 2021","Jun 17, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,kids plates,BROAD,dishwasher safe kids plates,39,5,12.8205%,$1.31,$6.55,$74.97,8.7368%,11.45,2,3,40.0000%,0,3,$0.00,$74.97
"May 25, 2021","May 25, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,kids plates,BROAD,easy to wash plates kids,2,1,50.0000%,$0.85,$0.85,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 31, 2021","May 31, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,kids plates,BROAD,face plate for kids,115,1,0.8696%,$0.80,$0.80,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","May 27, 2021",Not grouped,USD,Floral - Manual,Broad Ad Group,kids plates,BROAD,food plate for kids,1,1,100.0000%,$1.36,$1.36,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
