amazon_order_id,purchase_date,order_total,add_city,Abbrev,add_postal,add_country,number_items,total_item_quantity,Product,repeat_buyer,Month
112-4365008-6265020,2021-02-11 08:32 PM PST,32.84,LOS ANGELES,CA,90016-4941,US,1,1,Rainforest,0.0,02
113-3757888-2862612,2021-02-11 08:48 PM PST,32.46,FORESTVILLE,CA,95436-9749,US,1,1,Rainforest,0.0,02
113-0138069-0361821,2021-02-12 05:15 AM PST,37.09,HART,MI,49420-8823,US,1,1,Floral,0.0,02
114-9358051-8501064,2021-02-12 08:50 AM PST,37.7,ORANGE,CA,92867-3850,US,1,1,Floral,0.0,02
112-4668248-9196201,2021-02-12 08:54 AM PST,38.14,Lenoir City,TN,37772,US,1,1,Rainforest,1.0,02
114-9359735-8162617,2021-02-12 09:04 AM PST,38.49,NORTHBROOK,IL,60062-3715,US,1,1,Rainforest,0.0,02
112-3598936-3426647,2021-02-12 10:56 AM PST,38.52,MERCER ISLAND,WA,98040-6901,US,1,1,Rainforest,0.0,02
112-8895090-7060267,2021-02-12 11:10 AM PST,37.09,OREFIELD,PA,18069-2265,US,1,1,Rainforest,0.0,02
112-3868887-8451409,2021-02-12 11:31 AM PST,37.09,IRWIN,PA,15642,US,1,1,Floral,0.0,02
113-6793155-1315419,2021-02-12 12:06 PM PST,74.42,MADISON,CT,06443-1724,US,2,2,Both,0.0,02
111-4345162-0075467,2021-02-12 12:13 PM PST,37.7,BREA,CA,92821-2223,US,1,1,Floral,0.0,02
113-0055079-1129065,2021-02-12 12:21 PM PST,37.18,Northfield,MA,1360,US,1,1,Rainforest,0.0,02
112-1343848-4952254,2021-02-12 01:17 PM PST,38.05,SACRAMENTO,CA,95822-3964,US,1,1,Rainforest,1.0,02
112-0931215-6448247,2021-02-12 01:20 PM PST,38.4,El Cerrito,CA,94530,US,1,1,Rainforest,0.0,02
113-9486542-8523450,2021-02-12 04:32 PM PST,37.3,WORDEN,IL,62097-1150,US,1,1,Rainforest,0.0,02
112-6215735-9141002,2021-02-12 06:42 PM PST,37.7,ALPHARETTA,GA,30004,US,1,1,Floral,0.0,02
112-7966013-1645855,2021-02-12 09:27 PM PST,38.23,SAN JOSE,CA,95117-3069,US,1,1,Rainforest,0.0,02
111-4415381-6327447,2021-02-12 09:32 PM PST,37.49,SPRINGVILLE,UT,84663-5956,US,1,1,Rainforest,0.0,02
113-4449010-2950614,2021-02-13 03:17 AM PST,37.44,RIVERSIDE,RI,02915-3324,US,1,1,Rainforest,0.0,02
114-4141086-8573033,2021-02-13 03:24 AM PST,37.92,Patterson,NY,12563,US,1,1,Rainforest,0.0,02
113-4085116-8849805,2021-02-13 05:36 AM PST,37.09,MC KEES ROCKS,PA,15136-1256,US,1,1,Rainforest,0.0,02
111-5130779-1143421,2021-02-13 05:46 AM PST,37.88,LEANDER,TX,78641-3541,US,1,1,Rainforest,0.0,02
113-2641226-2901822,2021-02-13 05:48 AM PST,38.4,BARTLETT,TN,38135-3006,US,1,1,Rainforest,0.0,02
111-0036097-4563405,2021-02-13 06:26 AM PST,37.44,SAINT ALBANS,VT,05478-8007,US,1,1,Rainforest,0.0,02
114-1142762-3594628,2021-02-13 07:35 AM PST,69.98,DORAL,FL,33126-1036,US,2,2,Both,0.0,02
114-6878150-0380212,2021-02-13 08:43 AM PST,37.79,PEPPER PIKE,OH,44124-4333,US,1,1,Rainforest,0.0,02
111-0737780-7567405,2021-02-13 09:36 AM PST,37.09,Rockford,MI,49341,US,1,1,Rainforest,0.0,02
112-4676574-9815431,2021-02-13 09:48 AM PST,37.09,ALEXANDRIA,VA,22308-2148,US,1,1,Rainforest,0.0,02
114-3416881-0050626,2021-02-13 09:49 AM PST,37.09,BOISE,ID,83712-7419,US,1,1,Rainforest,0.0,02
113-8177659-9256240,2021-02-13 10:22 AM PST,37.7,COSTA MESA,CA,92627-6504,US,1,1,Rainforest,0.0,02
111-4478317-4610602,2021-02-13 11:18 AM PST,37.61,WORTHINGTON,OH,43085-3570,US,1,1,Rainforest,0.0,02
113-5526023-0431443,2021-02-13 11:41 AM PST,37.7,SANTA BARBARA,CA,93110-2003,US,1,1,Rainforest,0.0,02
113-0744231-7210651,2021-02-13 11:47 AM PST,34.99,PORTLAND,OR,97211,US,1,1,Rainforest,0.0,02
111-6227665-3249838,2021-02-13 11:48 AM PST,37.09,LANGHORNE,PA,19053-3227,US,1,1,Rainforest,0.0,02
111-8560853-2224237,2021-02-13 12:10 PM PST,34.99,LEES SUMMIT,MO,64081-3775,US,1,1,Rainforest,0.0,02
112-9050079-8134642,2021-02-13 03:05 PM PST,37.35,Washington,UT,84780,US,1,1,Floral,0.0,02
112-5460093-2109813,2021-02-13 03:43 PM PST,38.1,BROOKLYN,NY,11226-5719,US,1,1,Rainforest,0.0,02
113-2716691-2752202,2021-02-13 05:29 PM PST,37.96,NOVATO,CA,94947-2877,US,1,1,Rainforest,0.0,02
114-8894624-4012206,2021-02-13 06:20 PM PST,77.16,Evanston,IL,60202,US,1,2,Rainforest,1.0,02
114-9211742-4245827,2021-02-13 06:52 PM PST,37.79,NEW PALTZ,NY,12561-3308,US,1,1,Rainforest,0.0,02
